appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1503920,0,Aery - A Journey Beyond Time,EpiXR Games UG,EpiXR Games UG,,60.0,5.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
1491050,0,Altarage,LT,LT,,3.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,399.0,399.0,0.0,0.0
1496530,0,Cinders Of Hades,Holon Studios Inc.,Holon Studios Inc.,,1.0,2.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,299.0,299.0,0.0,0.0
1473220,0,Hundred Chances - The Fortress,Kaká Gamer &amp; Dev,Kaká Gamer &amp; Dev,,20.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
1428770,0,Kingdom Gun,"Incredible Two Studios, LLC","Incredible Two Studios, LLC",,49.0,28.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
1501530,0,Voxel Battle Simulator,ROOKIEZ FROM WARSAW,ROOKIEZ FROM WARSAW,,7.0,3.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
1505270,0,荣光的见证 Glory's Witness,KASADE Studio,KASADE Studio,,8.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1479540,0,Dragon Mission,Ideal Games,Ideal Games,,15.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,349.0,499.0,30.0,0.0
1495380,0,Tricky Machines,Peter Soltesz,Gravitysensation,,25.0,3.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,599.0,599.0,0.0,3.0
1475180,0,XPock,Dnovel,My Way Games,,14.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,119.0,1199.0,90.0,0.0
1482530,0,GeometryBricks,Marcin Gardyjan,Marcin Gardyjan,,8.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,299.0,299.0,0.0,0.0
1485340,0,Game Of Mafia,"FastGame, VICTORIA Games",FastGame,,85.0,14.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,349.0,999.0,65.0,0.0
1517490,0,Peaceful Gunner,KomBits Game Studio,KomBits Game Studio,,14.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
1510670,0,ZADETTE,Le Club des Sacs,Tell Me Films,,42.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,599.0,599.0,0.0,1.0
1052970,0,Soul of Giga,Goody Pundit,KPL,,25.0,10.0,0,"0 .. 20,000",277.0,0.0,277.0,0.0,599.0,599.0,0.0,1.0
1524920,0,ThroughHelltoHeaven,"OpticalPurgeStudios,LLC.",OpticalPurgeStudios,,5.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,699.0,699.0,0.0,0.0
1394940,0,Nak Sim: Fallen Warriors,Highlendid,Highlendid,,0.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1199.0,1199.0,0.0,0.0
1489520,0,Gun-REViper,naga84games,naga84games,,2.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1499.0,1499.0,0.0,0.0
1521900,0,Rome 2077: Space Wars,Yelaex,Yelaex,,3.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
1534250,0,Appease the Spider,Chris Antoni,Chris Antoni,,5.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,66.0,99.0,33.0,0.0
1530890,1,Car Constructor,Sweet Games,Sweet Games,,50.0,25.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
1535500,0,Mini Car Racing - Tiny Split Screen Tournament,EpiXR Games UG,EpiXR Games UG,,32.0,7.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,999.0,50.0,0.0
1517560,0,Droplet: States of Matter,Karl Ast,Krayfish Entertainment,,5.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
1505440,0,Neon Warrior,Dnovel,My Way Games,,10.0,3.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1199.0,1199.0,0.0,0.0
1530860,0,Mental Hospital VR,Igor Migun,AGaming+,,38.0,14.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,599.0,999.0,40.0,1.0
1537940,0,Bow & Crystal Tower Defense,Hede,Hede,,2.0,4.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
1529860,0,Ulna Online,Moscano,Ulna Produção,,12.0,8.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1399600,0,District 99,PolyGames,PolyGames,,3.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0
1495760,0,Karen,Generic Username,Generic Username,,7.0,2.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0
1482740,0,Atomic Guardians,Mosh Jason Games,Mosh Jason Games,,4.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1252480,0,Plasticalypse - Submarine Adventures,FLUXO GAMES,FLUXO GAMES,,5.0,4.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,899.0,899.0,0.0,0.0
1515200,0,Mission in Snowdriftland,tons of bits,tons of bits,,216.0,7.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,699.0,699.0,0.0,0.0
1528880,0,Time to GOLF,nattuhan,nattuhan,,12.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1148390,0,Alien Earth,Beam Software,MIRROR Soft,,2.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,599.0,599.0,0.0,0.0
1543930,0,Retro Wars,Paul Connor,Paul Connor,,0.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,699.0,699.0,0.0,0.0
1507080,0,弗洛伊斯(FREUS),宇宙超级无敌老铁没毛病制作组,宇宙超级无敌老铁没毛病制作组,,3.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1543400,0,Yellow Brick Road,didi game,didi game,,0.0,13.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,3999.0,3999.0,0.0,0.0
1499750,0,The Frost Rebirth,Tephra Company,Tephra,,8.0,15.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1299.0,1299.0,0.0,0.0
1522950,1,Dadish,Thomas K. Young,Thomas K. Young,,107.0,5.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,299.0,299.0,0.0,1.0
1547580,0,Welcome To... Chichester 2 - Part II : No Extra Regrets For The Future,Triority Interactive Novels,Triority Interactive Novels,,7.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
1524170,0,Pixel Game Maker Series Remote Bomber,Wit One,Gotcha Gotcha Games,,3.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
1076070,0,Alice and You in the planet of numbers,"Mindware Co.,Ltd.","Mindware Co.,Ltd.",,22.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,699.0,699.0,0.0,0.0
1153850,0,Super Space Towers,Happy Cactus Games Limited,Happy Cactus Games Limited,,9.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1299.0,1299.0,0.0,0.0
1352180,0,Rugida,AIHASTO,AIHASTO,,9.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,899.0,899.0,0.0,0.0
1547490,0,Black Cat,One Face Studio,One Face Studio,,7.0,5.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0
790030,0,Hexer,Dave,Dave,,1.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
1542870,0,Gaggle Brains!,Birdmask Studio LTD,Birdmask Studio LTD,,1.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
1528020,0,Afterlife VR,Split Light Studio,Split Light Studio,,86.0,16.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1124.0,1499.0,25.0,1.0
1543090,0,LiBER,OLKON GAMES,OLKON GAMES,,61.0,11.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,999.0,50.0,0.0
1553940,0,Space Cube Tower Defense,Hede,Hede,,0.0,4.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
1500580,0,Cyber Defense 2088,Tazzo,Calming Winds Productions,,1.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1999.0,1999.0,0.0,0.0
1544820,0,A Nasty Farm,TwojeYndie,TwojeYndie,,2.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,399.0,399.0,0.0,0.0
1548860,0,Farlight Commanders: Prologue,Farlight Games Industry,Farlight Games Industry,,8.0,5.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1553850,0,Tartaron,TartaronDev,TartaronDev,,2.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
