appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
568690,Smash Party VR,Viacom NEXT,Viacom NEXT,,42,4,0,"0 .. 20,000",0,0,0,0,0,0,0,0
554280,Time Carnage VR,Wales Interactive,Wales Interactive,,67,21,0,"0 .. 20,000",0,0,0,0,499,1999,75,1
569360,Pivot Pilot,Niko Kivilahti,Niko Kivilahti,,34,3,0,"0 .. 20,000",140,0,238,0,499,499,0,0
567260,Super Death Arena,Rigid-Soft,Rigid-Soft,,16,66,0,"0 .. 20,000",0,0,0,0,0,0,0,0
574120,Sausage Sports Club,Chris Wade,Chris Wade,,24,7,0,"0 .. 20,000",28,0,28,0,1499,1499,0,0
575540,VR Golf Online,KakaoVX,Kakao Games Corp.,,11,13,0,"0 .. 20,000",0,0,0,0,0,0,0,0
582350,Zombie Killin',BagelMaster5000,SamStar Enterprises Inc.,,16,0,0,"0 .. 20,000",0,0,0,0,199,199,0,0
562090,Kronos,UroboroStudio,UroboroStudio,,12,7,0,"0 .. 20,000",0,0,0,0,499,499,0,0
584600,Virus Crashers,Shindenken,Henteko Doujin,,16,7,0,"0 .. 20,000",0,0,0,0,99,99,0,0
602010,Plank not included,4 Fun Studio,4 Fun Studio,,39,7,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
580680,CYBER JOLT (VR),Deceptive Games,Deceptive Games,,9,9,0,"0 .. 20,000",238,0,238,0,99,99,0,0
600550,Save Our Souls - Episode I,Relentless Game Studios,Relentless Game Studios,,12,28,0,"0 .. 20,000",0,0,0,0,699,699,0,0
602120,Molemen Must Die!,Mokomoto,Mokomoto,,51,2,0,"0 .. 20,000",218,0,218,0,199,199,0,0
600690,TROID BLASTER,KINGSGUARD GAMES,KINGSGUARD GAMES,,3,2,0,"0 .. 20,000",0,0,0,0,99,99,0,0
577640,Space Station Loma: OPERATIONS,"SpielmannSpiel, bison",SpielmannSpiel,,4,2,0,"0 .. 20,000",0,0,0,0,1399,1399,0,0
597720,Stunt Toys,"IKI STUDIOS, LLC","IKI STUDIOS, LLC",,15,8,0,"0 .. 20,000",0,0,0,0,99,99,0,0
618360,Aesthetic Melody,Adam DeLease,Adam DeLease,,49,9,0,"0 .. 20,000",0,0,0,0,299,299,0,0
