appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,Final Price_$,Initial Price_$,Discount_$,Total Score, Mark ,Tier
1277970,0,I'mitation The Eight Suicide Note,"木枯組, 木枯リオ","木枯組, 木枯リオ",,53,35,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,0,0,0,88,60,L
1255380,0,Roller Riot,MassDigi,MassDigi,,131,14,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,0,0,0,145,90,L
711980,20,Starship EVO,Moonfire Entertainment,Moonfire Entertainment,,684,109,0,"20,000 .. 50,000",74,0,74,0,1999,1999,0,18,0,19.99,19.99,793,86,L
1284430,0,Nazi Labs,Sinned Games,Sinned Games,,3,2,0,"20,000 .. 50,000",0,0,0,0,74,299,75,0,0,0.74,2.99,5,60,L
1310590,0,Tank Battle,Create Game (OlegM),Create Game (OlegM),,93,33,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,0,0,0,126,74,L
1341980,0,Coronavirus - Nano Force,Daniel Snow,Daniel Snow,,4,4,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,0,0,0,8,-50,L
1044410,0,DOOR:Inner Child,PLAY Mephistowaltz,PLAY Mephistowaltz,,24,7,0,"20,000 .. 50,000",0,0,0,0,1499,1499,0,0,0,14.99,14.99,31,77,L
1436280,0,Plan Z,TheShadowBlue Interactive,TheShadowBlue Interactive,,3,1,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,0,0,0,4,75,L
1387510,0,Last Mortem,Juraj Husek Game Studio,Juraj Husek Game Studio,,48,26,0,"20,000 .. 50,000",0,0,0,0,0,0,0,0,0,0,0,74,65,L
511440,0,Last Year: The Nightmare,Elastic Games,Elastic Games,,378,172,0,"20,000 .. 50,000",58,0,94,0,0,0,0,0,0,0,0,550,69,L
1279920,3,Cobra Kai: The Karate Kid Saga Continues,Flux Games,GameMill Entertainment,,344,64,0,"20,000 .. 50,000",0,0,0,0,1999,1999,0,4,0,19.99,19.99,408,84,L
1468280,0,Inland,borgia mango,borgia mango art,,31,4,0,"20,000 .. 50,000",0,0,0,0,99,99,0,0,0,0.99,0.99,35,89,L
1575900,0,Old Stories: Fireheart,Jinvira,Jinvira,,2,0,0,"20,000 .. 50,000",0,0,0,0,1499,1499,0,0,0,14.99,14.99,2,100,L
1575470,5,Frogun,Molegato,"Top Hat Studios, Inc.",,193,29,0,"20,000 .. 50,000",0,0,0,0,1499,1499,0,2,0,14.99,14.99,222,87,L
1478160,7,Nyaruru Fishy Fight,"赤瞳大白猫, 猫尾巴制作组",赤瞳大白猫,,437,30,0,"20,000 .. 50,000",0,0,0,0,719,799,10,35,0,7.19,7.99,467,94,L
1642110,0,BATS: Bloodsucker Anti-Terror Squad,Ritual Games,"The MIX Games, One Eyed Robot",,7,0,0,"20,000 .. 50,000",0,0,0,0,499,999,50,1,0,4.99,9.99,7,100,L
1593920,0,Tombstone,Noodle Games,Noodle Games,,3,1,0,"20,000 .. 50,000",0,0,0,0,99,99,0,0,0,0.99,0.99,4,75,L
1649870,0,Bullet Wave,Boom Games,Boom Games,,6,4,0,"20,000 .. 50,000",0,0,0,0,99,99,0,0,0,0.99,0.99,10,60,L
793060,0,Starship,REAUME STUDIOS,REAUME STUDIOS,,2,0,0,"20,000 .. 50,000",0,0,0,0,99,99,0,0,0,0.99,0.99,2,100,L
1787320,0,The Atlas Mystery: A VR Puzzle Game,Top Right Corner,TRC DMI,,37,7,0,"20,000 .. 50,000",0,0,0,0,1499,1499,0,0,0,14.99,14.99,44,84,L
1804370,0,Airball,MicroDeal Ltd.,Pixel Games UK,,2,0,0,"20,000 .. 50,000",0,0,0,0,399,399,0,0,0,3.99,3.99,2,100,L
1830210,0,The Tribulation Entanglement,Anxious Neck Games,Anxious Neck Games,,18,4,0,"20,000 .. 50,000",0,0,0,0,349,699,50,0,0,3.49,6.99,22,82,L
