appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1150690,OMORI,"OMOCAT, LLC","OMOCAT, LLC",,45761,873,0,"500,000 .. 1,000,000",1184,551,461,551,1499,1999,25,629
22600,Worms Reloaded,Team17 Digital Ltd,Team17 Digital Ltd,,3774,589,0,"500,000 .. 1,000,000",311,0,195,0,299,1999,85,46
327030,Worms W.M.D,Team17,Team17,,7579,1416,0,"500,000 .. 1,000,000",880,95,218,150,599,2999,80,394
711810,Never Split the Party,Legend Studio,Legend Studio,,3147,973,0,"500,000 .. 1,000,000",165,0,77,0,0,0,0,7
916440,Anno 1800,Blue Byte,Ubisoft,,3681,739,0,"500,000 .. 1,000,000",7450,1009,10638,1009,0,0,0,296
22300,Fallout 3,Bethesda Game Studios,Bethesda Softworks,,14069,3677,0,"500,000 .. 1,000,000",552,46,156,92,999,999,0,107
274900,Murder Miners,JForce Games,JForce Games,,5297,859,0,"500,000 .. 1,000,000",169,0,112,0,299,299,0,14
414530,Skyforge,Allods Team,Music Guru LLC,,2429,1651,0,"500,000 .. 1,000,000",547,0,164,0,0,0,0,52
13210,Unreal Tournament 3 Black,"Epic Games, Inc.","Epic Games, Inc.",,3208,360,0,"500,000 .. 1,000,000",376,0,186,0,1999,1999,0,39
614570,Dishonored: Death of the Outsider,Arkane Studios,Bethesda Softworks,,8362,1183,0,"500,000 .. 1,000,000",552,0,343,0,2999,2999,0,203
479130,ESEA,ESEA,ESEA,,3098,1136,0,"500,000 .. 1,000,000",244,13,3,13,0,0,0,638
213610,Sonic Adventure 2,SEGA,SEGA,,13490,1929,0,"500,000 .. 1,000,000",421,0,300,0,999,999,0,267
962130,Grounded,Obsidian Entertainment,Xbox Game Studios,,36149,5546,0,"500,000 .. 1,000,000",1337,861,643,1157,3999,3999,0,14476
617830,SUPERHOT VR,SUPERHOT Team,SUPERHOT Team,,6123,2198,0,"500,000 .. 1,000,000",268,0,147,0,2499,2499,0,43
731490,Crash Bandicoot N. Sane Trilogy,"Vicarious Visions, Iron Galaxy",Activision,,12589,976,0,"500,000 .. 1,000,000",517,35,252,35,3999,3999,0,174
365360,Battle Brothers,Overhype Studios,Overhype Studios,,15542,2099,0,"500,000 .. 1,000,000",2331,0,1646,0,2999,2999,0,1248
1238820,Battlefield 3,DICE,Electronic Arts,,5171,2221,0,"500,000 .. 1,000,000",2131,0,292,0,3999,3999,0,72
